Use Case Name,Custom Metadata Field: Ticket Number,Custom Metadata Field: Jira Ticket,TBD - Workflow Stage or Status,Metadata Field or Question,Purpose of Use Case Description,Purpose of Use Case Description
Microsoft Teams Copilot,293,https://jira.autodesk.com/browse/GENAIGOV-293,Ongoing,"As a technical writer, you are tasked with revising release notes for Autodesk Dynamo. Your goal is to ensure that each release note is clear, concise, grammatically correct, and adheres to a neutral tone. The revised sentences should start with a past-tense verb and include all necessary articles. Do not use special characters, bolding, or italics. After revising, present the original and revised notes in a two-column table labeled 'Before' and 'After'. Finally, identify any release notes that may be difficult for general users to understand due to technical jargon or acronyms, and list these in a separate bulleted list. Examples of good release notes:* Fixed an issue where Dynamo would crash when copying a file into the OpenFile dialog or the OpenTemplate dialog.* Fixed duplicate package nodes in the library and Add-ons section.* Introduced functionality to unpin and collapse all preview bubbles, including a menu item and a hotkey (CTRL + K) to trigger the command.* Added the ability to hide or show axes in the background 3D preview under View > Background 3D Preview > Show/Hide Helpers.","This is a Teams Copilot agent that cleans up draft release notes. It does things like cleans up typos and grammar issues, and imposes a specific format for each release notes. To facilitate human review, it produces a before/after table. It also highlights jargon and other potential issues so that a human can review and address them if needed. ",
Miro AI ,315,https://jira.autodesk.com/browse/GENAIGOV-315,Ongoing,n/a,Enable the Miro AI feature that is native to the platform https://help.miro.com/hc/en-us/articles/20970362792210-Miro-AI-overview\\ ,
"N/A Not sure, need direction from you",295,https://jira.autodesk.com/browse/GENAIGOV-295,Ongoing,A word document.,We'd like to use a text-to-voice AI generation tool to upload a text document that then turns into an AI voice presenter for eLearning content. ,
Notebook LM ,291,https://jira.autodesk.com/browse/GENAIGOV-291,Ongoing,"Prompts are all USD centric, mostly technical questions: ""What is the difference between an explicit and implicit prototype"" ""How would you explain PointInstancer prims to a 6th grader?"" ""What criteria makes a prim marked instanceable an actual instance?"" ""Is it possible to detect whether a variant is empty/has no effect on stage data?"" ""How does USD  encapsulation work, and what purpose does it serve?","The team wants to know if they can use Notebook LM (which leverages Google's Gemini LLM).This is a tool in which publicly available data (websites, documents) are manually input as sources to create an aggregator tool. There is NO proprietary Autodesk information used or input in the tool as sources and prompts do not relate directly to our products. Its like an assistant, but within the bounds of the given sources, where you can prompt for answers based only on what has been input into the tool.",
Otto AI,288,https://jira.autodesk.com/browse/GENAIGOV-288,Ongoing,"1. Generate rephrased prompts for the below mentioned prompt, in JSON format.prompt: <prompt> 

{""rephrased_prompts"": []}
2. Summarize the below document based on the user prompt:user_prompt: <user_prompt>document: <documents>","Project: Otto AIDescription: Provide natural language interface to interact with Revit models for non-technical personas. Behind the scenes, Otto AI converts user query in natural language to equivalent GraphQL which is then used to fetch the data from the AEC Data model. For this we are using open-source LLM Zephyr 7b (already approved), which has been fine-tuned on synthetic dataset.RAG Framework Deepseek R1 will be used for RAG framework where it will create vector embeddings from domain documents and answer queries. It can also combine it's results with results from zephyr and show it as combined result. Example -1) Can you tell me what is Fire Rating Compliance from my company's standard documents ? (Here it will only consume results from documents)2) Can you tell me how many doors and windows are there in my design that have Fire Rating assigned ? (Here it will co-work with Zephyr model & together gives the output. The zephyr model will answer how many doors and windows are in design and Claude will get the information on what is Fire Rating. Both results are combined to give an output)It will be used to create synthetic data that improves (fine-tune) existing zephyr model.It could be used to create a synthetic data that could be consumed by itself (like we are doing for zephyr). example  It can be used to create synthetic documents that have domain knowledge.",
Pavlov ,296,https://jira.autodesk.com/browse/GENAIGOV-296,Ongoing,"The platform does not include generative AI functionality for the user e.g prompts etc. The only use of generative AI in the platform is for AI message creation (used by the agents) in which no Pii or customer data is used in this process. Only the name of the attributes are leverages e.g  the AI is informed that the field ""country"" is available but the content of that field is never shared.","The Unified Design team within the AEC Design organisation has the FY26 target of increasing the adoption of Autodesk Forma from 6000 to 15000 Commercial MAUs. To do this we need to scale our adoption efforts to increase acquisition of new users and retain existing ones. To achieve this we believe exploring solutions that will scale our engagement with customers without the need to increase headcount will be a key driver in our success.One solution we are exploring is Pavlov AI (https://www.trypavlov.com/), a Customer Performance Platform which partly includes ""AI Agents"" to automatically identify and act on signals to increase adoption, retention, and expansion at scale. (here is a more detailed description of the proposal and tool https://hey.trypavlov.com/pavlov-for-autodesk?v=wkq9&amp;tab=28257).We see Pavlov being an additional layer to our techstack which leverages existing customer communication channels e.g emails, in-product messaging (Intercom).Our first steps would be to run a Proof Of Concept to evaluate the tool which will include a clear plan on how to conduct and measure the success of the POC.",
Qwen,283,https://jira.autodesk.com/browse/GENAIGOV-283,Ongoing,Can you help me to plan the design of construction?,"We are planning the AI assistant for BID, we need to estimate the computing resources required to host those model in local and evaluate its performance. Qwen model have a series of open sources weights model in small size which is perfect for our testing!",
Skyword,304,https://jira.autodesk.com/browse/GENAIGOV-304,Ongoing,"The Skyword platform integrates with large language models through secure APIs that protects client data and does not train the models. Skyword's proprietary prompt engine captures brand variables such as brand voice, tone, style to create brand-aligned derivatives in its atomization engine. Each prompt is created specifically for each client to use in their prompt library.  Derivative content is based on the  provided source material.Prompts can include: generate a content brief for xxx; generate a draft of an FAQs document for xxx; write a 300 word blog post on xxx","Skyword is a new content writing service with a marketplace of freelance writers, copyeditors and proof readers. Gen AI is an optional service that can be used to support content atomization (creation of derivative assets - e.g. PDFs, FAQs, infographics from a single asset).",
Splunk AI Assistant ,310,https://jira.autodesk.com/browse/GENAIGOV-310,Ongoing,  Explain Following SPL query Generate a new Splunk Search query from index test to perform stats count by request IdExplain me how-to use average of a value rounded off to 2 decimals from the resultHelp me with a splunk query to find out all lookup files in my environmentMore details are available at below documentation linkshttps://www.splunk.com/en_us/products/splunk-ai-assistant-for-spl.htmlhttps://www.splunk.com/en_us/products/splunk-ai-assistant-for-spl/faq.html,Use natural language to prompt Splunk AI Assistant to generate SPL.Generate SPL from natural language with explanation of the SPL query.Chat with the Splunk AI Assistant to generate SPL and drill down into your Splunk data for a deeper level of insights.Splunk AI Assistant will search through all product documentation to help bring you the relevant information instantly.Use generative AI to answer how-to questions in context using Splunk product documentation.More details are available at below documentation linkshttps://www.splunk.com/en_us/products/splunk-ai-assistant-for-spl.htmlhttps://www.splunk.com/en_us/products/splunk-ai-assistant-for-spl/faq.html,
Surfer SEO ,314,https://jira.autodesk.com/browse/GENAIGOV-314,Ongoing,"Prompt 1 Example: Create a content  outline for a marketing landing page focused on [keyword/topic]. This page will target [audience...i.e., cnc programmers, machinists and shop floor managers] and will be informational (top of funnel to middle of funnel) to help the customer better understand the topic. The goal of the page is to introduce the visitor to the topic, answering common and high level questions (such as ""what is topic?"") and then to introduce them to Autodesk software solutions that can help users complete the task associated with this topic. In addition to answering high level questions and featuring Autodesk software, give in the outline the top 3-5 benefits that Autodesk software can help with the task. Find 3-5 relevant articles or resources on www.autodesk.com that can be featured in this content outline to help users learn more about the topic. Also list the top 5-7 frequently asked questions about the topic or how it relates to Autodesk software and solutions. The goal of the page is to educate visitors on the topic, understand how Autodesk software can best meet their needs as it relates to the topic, and get them to sign up for a free product trial.Prompt 2 Example: In editorial style, create a content outline and then write a blog article on [topic...i.e. spice simulation] that is highly informational, helping visitors understand the definition of the topic, the history and trends of the topic, the technology behind it, and current challenges that can be solved by use of Autodesk software (as it relates to the topic). The goal of the page is to educate new blog visitors about the topic and create brand awareness for our [product] and how it can help the user solve challenges with this software.","Surfer (www.surferseo.com) is an online subscription based tool built for SEO (search engine optimization). SEO is the practice of optimizing our websites for increased web traffic and organic search-driven by SEOis the largest single digital marketing channel in driving both revenue and website traffic. In FY25, organic search drove over $42M in eStore billings, $134M in ACV Pipeline Closed/Won in Period, and over 100 million visits to official Autodesk websites. Due to drastic cuts in our team size and budget, we need to rely on AI SEO and content generation tools to support our work and meet business goals for revenue and traffic growth.There are two use cases we are requesting. Hopeful that both use cases can be approved:1. Generate content outlines to guide the writing for new marketing landing pages or blog articles. (These marketing landing pages and blog articles would be customer facing and published on Dotcom or blogs.autodesk.com.) Content outlines are the structure and bones of a new marketing landing page, giving direction to writers on what needs to be featured in the web copy to meet the objectives of the landing page. They are internal use and are produced in a simple outline form to guide the direction of the writing.The way this tool (Surfer) is different from just using Autodesk GPT for the use case, is it takes into account (a) keyword researchidentifying appropriate keywords to target with optimized landing pages and drive new web traffic-and (b) it also instantaneously reviews the SERPs (search engine results pages) for the keyword and analyzes the top 20-30 search results to understand search intent, competitor share of voice, and how best to create an landing page or blot post to rank highly for the chosen keyword. This is not a feature available through Autodesk GPT today. Using this tool will help us create useful and compelling marketing content that will enable us to be competitive in search and grow new business web traffic.2. Use the AI content generation tools in  Surfer to write the draft copy of the new marketing landing pages. In addition to content outlines, Surfer also has AI writing features available. Once a content outline is generated, the tool can be prompted to then write the actual landing page/article. The goal of using this feature would be to use AI to write the draft of marketing landing page or blog article and then finalize the copy with human writers/editors (either internal Autodesk FTEs, or writing contractors employed by our team). Our intent is not to publish a fully AI written article, but instead would look to differentiate the AI copy writing by updating and changing at least 20%-30% of the draft by a human writer. Ideally we are looking to have both workflows approved, but if the second cannot be approved we would still like to use Surfer for the first use case (generate content outlines for new marketing landing pages or blog articles).",
TermWeb,302,https://jira.autodesk.com/browse/GENAIGOV-302,Ongoing,"TermWeb uses artificial intelligence (AI)  and machine learning (ML) in test mode. The AI-powered features are based on pre-trained generative models (ML techniques). These models are used to automate key tasks such as term extraction from documents, translation suggestions, and automatic field population."," Integration with hosted AI  services (via client-owned API keys), And self-hosted models for on-premise or private cloud use, offering more control over data privacy and performance.",
"Vizcom, Krea, Runway ",318,https://jira.autodesk.com/browse/GENAIGOV-318,Ongoing,unknown at this time ,research purpose,
Vyond,316,https://jira.autodesk.com/browse/GENAIGOV-316,Ongoing,They would be compliance scenarios or questions that the tool would then animate.  Similar to Dall-E. ,"Here is a description of the product - I use it to create compliance trainings.  I don't know if I will use the AI functionality but I would like to be able to.  ""Vyond Studio is a full-featured, drag-and-drop video editor that makes building a video instant and effortless. Let our AI generate stunning visuals and backgrounds on-demand. Experience supercharged efficiency with automatic translation into 70+ languages. Remove backgrounds from uploaded photos, magically enhance voice overs, and even apply customized actions to characters just by uploading a video. WIth Vyond, creating engaging, professional-grade business videos has never been easier."" ",
xiQ,307,https://jira.autodesk.com/browse/GENAIGOV-307,Ongoing,not prompt driven, xiQ’s AI-generated personality insights help you grasp the mindset of your buyers and provide recommendations on how to market and sell to them. Appeal to your audience with personalized campaigns.The NAMER ABM team have engaged with xiQ and have licenses within the ABM team in order to gain further insight on how to personalise campaigns to target persona's within accounts. I wish to engage with the supplier in the EMEA region in order to leverage their services.,
